"","story_id","province_human","province_ICEWS","cleantext"
"11",22522781,NA,"Province du Nord-Kivu","tone use by ACTAR AVERB SOURZ sub_northkivu in  SOURZ bulletin today morn suggest  SOURZ  chang editori line to reflect situat in insurg AVERB kinshasa ACTAR seem to gain ground in current AVERB in DIRECTZ drcongo. insurg also acquir sophist weaponri  and   propaganda tool in form of  SOURZ station.in bulletin at N gmt today  SOURZ broadcast N  SOURZ item of depict nation armi  drcongo arm AVERB  AVERB  demor  and   lose ground to ACTAR gen ACTAR ACTAR . drcongo armi also portray  afraid of face ACTAR ACTAR . bulletin suggest  ACTAR ACTAR  call on ACTAR troop to distanc from command  and   to refus to AVERB. bulletin differ from  SOURZ usual SOURZ broadcast  general neutral in tone carri shorter  and   vari SOURZ item  and   devoid of  ACTAR undertones.in bulletin N  SOURZ item  SOURZ NONTOPIC actual  and   provision AVERB record of N ACTAR troop AVERB  and   N serious AVERB  and   N AVERB includ N offic conclud by NONTOPIC NONTOPIC NONTOPIC  ACTAR troop demotiv  and    wish to AVERB anc. N item spoke of N faction of  ACTAR armi brigad AVERB   N want to AVERB  ACTAR ACTAR  and    refus to AVERB former colleagues. item also spoke of ACTAR AVERB recount experi to colleagu AVERB ACTAR troop  and   in turn becam fear  and   refus to AVERB. SOURZ sub_northkivu bulletin also NONTOPIC gen ACTAR acquir  SOURZ call umoja  swahili word for uniti  broadcast from sub_northkivu gen ACTAR headquarters. SOURZ will undoubt serv   ACTAR  and   polit propaganda tool  aim of discourag ACTAR troop  and   win sympathi for cause. SOURZ also NONTOPIC ACTAR now anti aircraft weapon  clear sign neither  ACTAR   ACTAR mission in drcongo can AVERB troop to withdraw from  ADMINN  AVERB  in N  AVERB sub_southkivu ADMINN . SOURZ sub_northkivu alway serv whoever  upper hand in DIRECTZ drcongo. N AVERB overthrew presid mobutu from power  SOURZ sub_northkivu  privat SOURZ . afdl  and   ACTAR sub_northkivu rebel group AVERB  AVERB at various period N  and   N  revert to ACTAR AVERB. descript of SOURZ  caversham SOURZ in english  monitor servic of  SOURZ  unit kingdom public servic broadcast"
"12",3919569,"bascongo","Province du Kasai-Occidental","text of SOURZ by SOURZ on N MONZ  seri of incid tarnish drcongo Nth independ anniversari mark yesterday  and   yet elector campaign ahead of presidenti  and   legisl elect  just began. MONZ organ by pro MONZ aratist turn  bloodbath in sub_bascongo  DIRECTZ drcongo  major port  river ACTAR drains. secur AVERB open AVERB on crowd  N of demonstr AVERB  ACTAR firearm. N peopl at gathering.at least N peopl killed. SOURZ  SOURZ  pari in french N gmt N MONZ N"
"13",23139516,"northkivu","Province du Nord-Kivu","excerpt from SOURZ by raymond baguma  and   agenc entitl N congoles flee to ACTAR publish by ugandan newspap SOURZ websit on N MONZ  N congoles enter ACTAR to escap AVERB in DIRECTZ  ACTAR  nation armi  and   AVERB of renegad general  ACTAR . ACTAR influx start on DAYZ  N MONZ   congoles from ADMINN close to ugandan border enter sub_northkivu in kisoro ADMINN  DIRECTZ  ACTAR .anoth small ACTAR of refuge fled to busanza anoth border point N kms north of sub_northkivu. ACTAR agenc unhcr fear  peopl will AVERB AVERB continu in sub_northkivu ADMINN of northkivu ADMINN . passag omit  N congoles admit in hospit in sub_northkivu bullet AVERB NONTOPIC unhcr ACTAR   caught in cross AVERB AVERB rage around home on DAYZ morning.unhcr NONTOPIC  ACTAR  and   ACTAR  shelter on shop veranda in sub_northkivu  other remain close to border hope to return home calm returns.kisoro ADMINN author yesterday advis AVERB peopl to leav border ADMINN for safeti  and   move to nyakaband transit centr set by unhcr  and   relief agencies.yesterday  unhcr  and   wfp start distribut high energi biscuit  and   basic household suppli to N refuge at nyakabande.in MONZ  and   MONZ  N congoles fled northkivu to kisoro to escap AVERB  congoles armi  and   local ACTAR . descript of SOURZ  kampala SOURZ  internet version WWWin english  state own daili publish divers of opinion.url WWWwww.ewvision.o.g"
"14",20990359,"orientale","Orientale Province","text of SOURZ by congoles SOURZ on N MONZ  leadership of popular front for justic in ACTAR  ACTAR  ACTAR  NONTOPIC troop of  drcongo arm AVERB  and   drcongo DIRECTZ  ACTAR of behind current chaotic situat of insecur in sub_orientale  and   sub_orientale ADMINN  sub_orientale ADMINN  DIRECTZ drcongo . leader of  ACTAR  ACTAR  mr sheriff manda  respond today to SOURZ journalist  phone alleg made by sub_orientale ADMINN administr  and   and isoma ADMINN resid previous days. ACTAR leadership NONTOPIC drcongo arm AVERB troop behind insecur  continu to bring desol among congoles civilian in name of AVERB   ACTAR .mr sheriff manda of  ACTAR  ACTAR also NONTOPIC drcongo DIRECTZ  ACTAR of neglect  respond posit to various request for past N days. state   N case of peac negoti by various stakehold of  ADMINN  end in failure.on DAYZ N MONZ N administr stanisla boshab of sub_orientale call upon  ACTAR  ACTAR to accept peac settlement in order to end suffer  and   insecur in  ADMINN . N day ago resid of and isoma ADMINN claim  ACTAR fighter behind  N AVERB of civilian AVERB of good  and   destruct of ADMINN sinc N. advers presenc  ACTAR  ACTAR  in  ADMINN  and   recurr AVERB drcongo arm AVERB troop  and    ACTAR fighter brought great humanitarian crisi in  ADMINN  N intern AVERB peopl live in abject poverty. descript of SOURZ  sub_orientale SOURZ in french"
"15",35033780,"northkivu","Province du Nord-Kivu","N peopl AVERB  result of ACTAR oper arm group in  ADMINN of sub_northkivu in northkivu.  inform  ADMINN for coordin of humanitarian affair ocha in week SOURZ of  MONZ N.  SOURZ indic  also  N AVERB person  and   vulner assist in essenti household item mea  and   food suppli in  ADMINN of sub_northkivu nyiragongo  and   sub_northkivu. structur of  ACTAR mission in ACTAR indic  figur contrari to of N AVERB advanc past week by local author week SOURZ .N of N MONZ N .accord to mix commiss of ACTAR movement cite by ocha  N peopl AVERB N MONZ  and   MONZ N follow AVERB  arm AVERB of  ACTAR  ACTAR   and   arm ACTAR nduma defens of ACTAR  ndc in  ADMINN of sub_northkivu locat approxim N km east of sub_northkivu center.in addit need assess in favor of newli AVERB person schedul on axi sub_northkivu center.sub_orientale west of sub_northkivu center  and   on hop mpofi.kasheber east of  ADMINN .sinc begin of year  evalu held in sub_northkivu except mission of need assess conduct by ngo act end of MONZ  and   earli MONZ in favor of N AVERB  and   N return in  ADMINN  and   ADMINN of hombo nord  chambucha katatwa N  and   N otobora kilongot museng karet  and   sub_katanga south of sub_northkivu.in south sub_northkivu  presenc of near N new AVERB NONTOPIC on new ADMINN   subject of new assess of humanitarian needs. idp welcom in communiti of bingi N household  kasingiri N household  luofu N household  inform N household  alimbongo N household  and   kamandi gite N household . apprais  conduct  MONZ  and   MONZ  and    identifi N AVERB household spread  N communities. motion  NONTOPIC in  ADMINN result from progress of arm ACTAR ndc toward  ADMINN of bunyateng south west of sub_northkivu  and   AVERB  oppos  ACTAR to rebel movements.in total N AVERB household on N household assess by program of rapid respons to ACTAR movement rrmp  MONZ  and   MONZ N in  ADMINN of sub_northkivu benefit from assist in essenti household item N household  in wfp food N household  and   in protein biscuit of pam N person ."
"16",6288898,"northkivu","Province du Nord-Kivu","AVERB in  ACTAR DIRECTZ  ADMINN of northkivu AVERB N of civilian in recent weeks.  timelin of latest violenc in  ADMINN  N MONZ .AVERB by insurg  congoles armi Nth brigad begin in northkivu ADMINN . ACTAR of soldier from brigad repel AVERB in sub_northkivu N km DIRECTZ of  ADMINN capit sub_northkivu.NONTOPIC differ to ident of insurg  local resid NONTOPIC AVERB loyal to former ACTAR gen ACTAR   alleg to  back of rwandan ACTAR .N MONZ . Nth brigad withdraw anoth AVERB by insurg in sub_northkivu  and   tongo. insurg AVERB  ADMINN of sub_northkivu in virunga park  and   sub_northkivu. SOURZ mission in  ACTAR  monuc NONTOPIC AVERB AVERB N civilians. observ in sub_northkivu NONTOPIC in sub_northkivu  hard to NONTOPIC  ACTAR  congoles armi    realli   and    AVERB  guarante security.N MONZ . insurg flee follow joint deploy of troop from monuc  and   congoles armi from sub_northkivu to sub_northkivu.monuc  and   congoles armi launch anoth joint oper in direct of kibiriz  and   sub_northkivu from sub_northkivu side  and   regain AVERB of disput ADMINN  includ  ADMINN of sub_northkivu in north  and   sub_northkivu in south of  ADMINN .N MONZ . insurg launch new AVERB in  ADMINN  driven out by monuc  and   congoles troops.N MONZ . ACTAR world food programm wfp NONTOPIC  worri member of civilian ACTAR  to  usual suppli food.wfp realli worri  ACTAR  haven t access to sinc DAYZ  NONTOPIC aya shneerson head of wfp sub_ADMINN in sub_northkivu.shneerson NONTOPIC wfp usual distribut food to ten of N of ACTAR  and   vulner member of civilian ACTAR  well to intern AVERB person idp in ADMINN north of sub_northkivu.N MONZ .msf franc  suppli drug to N bed hospit in sub_northkivu NONTOPIC  worri  peopl depend on  ACTAR to taken to hospit from ADMINN surround sub_northkivu.msf NONTOPIC usual transport ACTAR  sever case of malaria to sub_northkivu hospit by vehicle.N MONZ .unhcr NONTOPIC N congoles fled across border  ACTAR  renegad congoles armi unit AVERB armi unit in sub_northkivu  and    ADMINN in northkivu ADMINN . agenc NONTOPIC N refuge remain in ACTAR howev  and    plan to move to old ACTAR camp farther insid country.N MONZ .msf franc repres jean sebastien mapt NONTOPIC agenc manag to deliv drug to sub_northkivu hospit on N MONZ . NONTOPIC situat around sub_northkivu calmer still tense.  SOURZ  necessarili reflect view of  SOURZ"
"17",27237112,"katanga","Katanga Province","note  daili SOURZ summari compil by public affair ADMINN of us embassi kinshasa. opinion express in product in way reflect view of us embassi  and   present for inform purpos . N serviceman AVERB in ACTAR  kata katanga confront independ SOURZ NONTOPIC at least N  ACTAR soldier AVERB  and   N civilian AVERB yesterday in AVERB  ACTAR troop  and   bakata katanga militiamen in  ADMINN  N kilomet from sub_katanga.cit sourc  station underlin  ACTAR  and   ACTAR soldier previous AVERB on MONZ N th  on road to kasenga situat N kilomet away from katanga chief ADMINN . station also recal in late MONZ  arm ACTAR alleg lock thirteen ACTAR in hut AVERB aliv in local call lwelakalunga.WWWradiookapi.et actualite N N N d affront entr ACTAR milicien bakata katanga signal pres de sub_katanga"
"18",34021169,NA,"Kinshasa City","bereav by AVERB of rebellion lamin by ethnic rift to repetit  and   fragment by  ADMINN coordin  ACTAR look like today in corner to field of ruins. apocalypt landscap stand in front of view  relic of violent AVERB  ACTAR loyalist  and   rebel groups. decor  true field of AVERB  N of countrymen mown by bullet  and   bombs."
"19",22317381,"northkivu","Province du Nord-Kivu","SOURZ  N MONZ .congoles rebel condemn ACTAR for reject negoti militia in DIRECTZ  ACTAR  whose AVERB AVERB N of N to flee homes.gener ACTAR  leader of ACTAR  ACTAR   demand direct talk  ACTAR   ACTAR  advanc to ADMINN of sub_northkivu in east ACTAR .last week  ACTAR rout ACTAR AVERB around  ADMINN capit of sub_northkivu provok mass exodus of civilians.sub_northkivu  ADMINN capit of northkivu  place  overnight curfew on DAYZ  ACTAR maintain unilater ceasefir call last week.rebel spokesman bertrand bisimwa NONTOPIC kinshasa ACTAR  NONTOPIC militarist posit by refus parliament recommend of direct dialogu  ACTAR   NONTOPIC ceasefir sinc last week DAYZ .  act of sabotage. ACTAR  just launch AVERB on peopl mr bisimwa NONTOPIC. ACTAR   NONTOPIC ACTAR of back mr ACTAR  refus to hold direct talk  ACTAR  NONTOPIC want dialogu  arm group in kivu ADMINN  and   just ACTAR .  small  and   larg arm group  ACTAR spokesman lambert sub_kasaioccidental NONTOPIC. act of creat humanitarian disast  give special rights.meanwhil general ACTAR rebel in DIRECTZ  ACTAR vow to continu AVERB on ethnic hutu ACTAR .although ACTAR  NONTOPIC ceasefir  NONTOPIC doesn t appli to ACTAR  mr bisimwa NONTOPIC. don t  ceas AVERB  ACTAR  mr bisimwa NONTOPIC from mushak N kilomet west of sub_northkivu capit of northkivu ADMINN . normal  continu  and   AVERB ADMINN  ACTAR   also NONTOPIC.mr bisimwa NONTOPIC ACTAR AVERB ADMINN from N kilomet north of sub_northkivu to ADMINN of sub_northkivu  N kilomet to north. ACTAR remain in ADMINN to  DIRECTZ  and   DIRECTZ of sub_northkivu accord to reports. ACTAR  led by rwandan hutus fled neighbor ACTAR  N genocid in ACTAR  AVERB  N tutsi  and   moder hutus. SOURZ  ACTAR fund estim around N peopl now believ to  AVERB in last N  MONZ bring total number of intern AVERB to around N . descript of SOURZ  oslo SOURZ  WWWext in english  afrol  independ SOURZ agenc establish in N  and   exclus NONTOPIC african contin in english spanish french  and   portugues url WWWrol.om html"
"20",3270217,"orientale","Orientale Province","ACTAR  AVERB  ADMINN of sub_orientale in  DIRECTZ  ACTAR  ACTAR  NONTOPIC on DAYZ  french soldier sent by  SOURZ to keep peac in  ADMINN   view hostil forces.  sent  consid  enemi NONTOPIC thoma lubanga  head of rwandan back union of congoles patriot upc .lubanga speak to  SOURZ correspond base in kigali on satellit telephone. NONTOPIC  speak from locat near sub_orientale  capit of troubl sub_orientale ADMINN of  ACTAR   ACTAR recaptur on DAYZ  N  MONZ  rebel  driven out by ugandan army. french foreign ACTAR NONTOPIC on DAYZ  AVERB in sub_orientale   scene of N larg scale ethnic massacr in recent year  led  SOURZ to ask for french batallion to sent to  ADMINN .franc readi to contribut to stabilis of sub_orientale  and   right now  studi way of AVERB part in intern AVERB spokesman francoi rivasseau NONTOPIC. ACTAR takeov of sub_orientale  and   dead violenc led to  prompt  SOURZ secur council in new york to consid strengthen peacekeep mission in  ACTAR . head of ACTAR peacekeep oper jean mari guehenno warn without decis action   bloodbath in  ADMINN . ACTAR  drawn from sub_orientale hema minor  long engag in bitter feud  lendu major  punctuat by N massacres.accord to ACTAR figur  N peopl  AVERB in ethnic unrest in sub_orientale sinc N. latest upsurg of unrest come parti to  N year civil AVERB in  ACTAR  seek to implement last peac accord.hv afm kdz ACTAR drcongo franc ACTAR"
