,province,sublevel
203,Heilongjiang,Shangzhi
204,Heilongjiang,Shuangyashan
205,Heilongjiang,Suifenhe
206,Heilongjiang,Suihua
207,Heilongjiang,Tieli
208,Heilongjiang,Tongjiang
209,Heilongjiang,Wuchang
210,Heilongjiang,Wudalianchi
211,Heilongjiang,Yichun
212,Heilongjiang,Zhaodong
213,Henan,Anyang
214,Henan,Changge
215,Henan,Dengfeng
216,Henan,Dengzhou
217,Henan,Gongyi
218,Henan,Hebi
219,Henan,Huixian
220,Henan,Jiaozuo
221,Henan,Jiyuan
222,Henan,Kaifeng
223,Henan,Lingbao
224,Henan,Linzhou
225,Henan,Luohe
226,Henan,Luoyang
227,Henan,Mengzhou
228,Henan,Nanyang
229,Henan,Pingdingshan
230,Henan,Puyang
231,Henan,Qinyang
232,Henan,Ruzhou
233,Henan,Sanmenxia
234,Henan,Shangqiu
235,Henan,Weihui
236,Henan,Wugang
237,Henan,Xiangcheng
238,Henan,Xingyang
239,Henan,Xinmi
240,Henan,Xinxiang
241,Henan,Xinyang
242,Henan,Xinzheng
243,Henan,Xuchang
244,Henan,Yanshi
245,Henan,Yima
246,Henan,Yongcheng
247,Henan,Yuzhou
248,Henan,Zhengzhou
249,Henan,Zhoukou
250,Henan,Zhumadian
251,Hubei,Anlu
252,Hubei,Chibi
253,Hubei,Dangyang
254,Hubei,Danjiangkou
255,Hubei,Daye
256,Hubei,Enshi
257,Hubei,Ezhou
258,Hubei,Guangshui
259,Hubei,Hanchuan
260,Hubei,Honghu
261,Hubei,Huanggang
262,Hubei,Huangshi
263,Hubei,Jingmen
264,Hubei,Jingzhou
265,Hubei,Laohekou
266,Hubei,Lichuan
267,Hubei,Macheng
268,Hubei,Qianjiang
269,Hubei,Shishou
270,Hubei,Shiyan
271,Hubei,Suizhou
272,Hubei,Songzi
273,Hubei,Tianmen
274,Hubei,Wuhan
275,Hubei,Wuxue
276,Hubei,Xiangyang
277,Hubei,Xianning
278,Hubei,Xiantao
279,Hubei,Xiaogan
280,Hubei,Yichang
281,Hubei,Yicheng
282,Hubei,Yidu
283,Hubei,Yingcheng
284,Hubei,Zaoyang
285,Hubei,Zhijiang
286,Hubei,Zhongxiang
287,Hunan,Changde
288,Hunan,Changning
289,Hunan,Changsha
290,Hunan,Chenzhou
291,Hunan,Hengyang
292,Hunan,Hongjiang
293,Hunan,Huaihua
294,Hunan,Jinshi
295,Hunan,Jishou
296,Hunan,Leiyang
297,Hunan,Lengshuijiang
298,Hunan,Lianyuan
299,Hunan,Liling
300,Hunan,Linxiang
301,Hunan,Liuyang
302,Hunan,Loudi
303,Hunan,Miluo
304,Hunan,Shaoshan
305,Hunan,Shaoyang
306,Hunan,Wugang
307,Hunan,Xiangtan
308,Hunan,Xiangxiang
309,Hunan,Yiyang
310,Hunan,Yongzhou
311,Hunan,Yuanjiang
312,Hunan,Yueyang
313,Hunan,Zhangjiajie
314,Hunan,Zhuzhou
315,Hunan,Zixing
316,innermongolia,Arxan
317,innermongolia,Baotou
318,innermongolia,Bayannur
319,innermongolia,Chifeng
320,innermongolia,Erenhot
321,innermongolia,Ergun
322,innermongolia,Fengzhen
323,innermongolia,Genhe
324,innermongolia,Hohhot
325,innermongolia,Holingol
326,innermongolia,Hulunbuir
327,innermongolia,Manzhouli
328,innermongolia,Ordos
329,innermongolia,Tongliao
330,innermongolia,Ulanhot
331,innermongolia,Ulanqab
332,innermongolia,Wuhai
333,innermongolia,Xilinhot
334,innermongolia,Yakeshi
335,innermongolia,Zhalantun
336,Jiangsu,Changshu
337,Jiangsu,Changzhou
338,Jiangsu,Danyang
339,Jiangsu,Dongtai
340,Jiangsu,Gaoyou
341,Jiangsu,Haimen
342,Jiangsu,Huai'an
343,Jiangsu,Jiangyin
344,Jiangsu,Jingjiang
345,Jiangsu,Jurong
346,Jiangsu,Liyang
347,Jiangsu,Lianyungang
348,Jiangsu,Kunshan
349,Jiangsu,Nanjing
350,Jiangsu,Nantong
351,Jiangsu,Pizhou
352,Jiangsu,Qidong
353,Jiangsu,Rugao
354,Jiangsu,Suqian
355,Jiangsu,Suzhou
356,Jiangsu,Taicang
357,Jiangsu,Taixing
358,Jiangsu,Taizhou
359,Jiangsu,Wuxi
360,Jiangsu,Xinghua
361,Jiangsu,Xinyi
362,Jiangsu,Xuzhou
363,Jiangsu,Yancheng
364,Jiangsu,Yangzhong
365,Jiangsu,Yangzhou
366,Jiangsu,Yixing
367,Jiangsu,Yizheng
368,Jiangsu,Zhangjiagang
369,Jiangsu,Zhenjiang
370,Jiangxi,Dexing
371,Jiangxi,Fengcheng
372,Jiangxi,Fuzhou
373,Jiangxi,Ganzhou
374,Jiangxi,Gao'an
375,Jiangxi,Gongqingcheng
376,Jiangxi,Guixi
377,Jiangxi,Ji'an
378,Jiangxi,Jingdezhen
379,Jiangxi,Jinggangshan
380,Jiangxi,Jiujiang
381,Jiangxi,Leping
382,Jiangxi,Nanchang
383,Jiangxi,Pingxiang
384,Jiangxi,Ruichang
385,Jiangxi,Ruijin
386,Jiangxi,Shangrao
387,Jiangxi,Xinyu
388,Jiangxi,Yichun
389,Jiangxi,Yingtan
390,Jiangxi,Zhangshu
391,Jilin,Baicheng
392,Jilin,Baishan
393,Jilin,Changchun
394,Jilin,Da'an
395,Jilin,Dehui
396,Jilin,Dunhua
397,Jilin,Fuyu
398,Jilin,Gongzhuling
399,Jilin,Helong
400,Jilin,Huadian
401,Jilin,Hunchun
402,Jilin,Ji'an
403,Jilin,Jiaohe
404,Jilin,Jilin
405,Jilin,Liaoyuan
406,Jilin,Linjiang
407,Jilin,Longjing
408,Jilin,Meihekou
409,Jilin,Panshi
410,Jilin,Shuangliao
411,Jilin,Shulan
412,Jilin,Siping
413,Jilin,Songyuan
414,Jilin,Taonan
415,Jilin,Tonghua
416,Jilin,Tumen
417,Jilin,Yanji
418,Jilin,Yushu
419,Liaoning,Anshan
420,Liaoning,Benxi
421,Liaoning,Beipiao
422,Liaoning,Beizhen
423,Liaoning,Chaoyang
424,Liaoning,Dalian
425,Liaoning,Dandong
426,Liaoning,Dashiqiao
427,Liaoning,Dengta
428,Liaoning,Diaobingshan
429,Liaoning,Donggang
430,Liaoning,Fengcheng
431,Liaoning,Fushun
432,Liaoning,Fuxin
433,Liaoning,Gaizhou
434,Liaoning,Haicheng
435,Liaoning,Huludao
436,Liaoning,Jinzhou
437,Liaoning,Kaiyuan
438,Liaoning,Liaoyang
439,Liaoning,Linghai
440,Liaoning,Lingyuan
441,Liaoning,Panjin
442,Liaoning,Shenyang
443,Liaoning,Tieling
444,Liaoning,Wafangdian
445,Liaoning,Xingcheng
446,Liaoning,Xinmin
447,Liaoning,Yingkou
448,Liaoning,Zhuanghe
449,Ningxia,Guyuan
450,Ningxia,Lingwu
451,Ningxia,Qingtongxia
452,Ningxia,Shizuishan
453,Ningxia,Wuzhong
454,Ningxia,Yinchuan
455,Ningxia,Zhongwei
456,Qinghai,Delingha
457,Qinghai,Golmud
458,Qinghai,Haidong
459,Qinghai,Xining
460,Qinghai,Yushu
461,Shaanxi,Ankang
462,Shaanxi,Baoji
463,Shaanxi,Hancheng
464,Shaanxi,Hanzhong
465,Shaanxi,Huayin
466,Shaanxi,Shangluo
467,Shaanxi,Tongchuan
468,Shaanxi,Weinan
469,Shaanxi,Xi'an
470,Shaanxi,Xianyang
471,Shaanxi,Xingping
472,Shaanxi,Yan'an
473,Shaanxi,Yulin
474,Shandong,Anqiu
475,Shandong,Binzhou
476,Shandong,Changyi
477,Shandong,Dezhou
478,Shandong,Dongying
479,Shandong,Feicheng
480,Shandong,Gaomi
481,Shandong,Haiyang
482,Shandong,Heze
483,Shandong,Jiaozhou
484,Shandong,Jinan
485,Shandong,Jining
486,Shandong,Jimo
487,Shandong,Laiwu
488,Shandong,Laixi
489,Shandong,Laiyang
490,Shandong,Laizhou
491,Shandong,Leling
492,Shandong,Liaocheng
493,Shandong,Linqing
494,Shandong,Linyi
495,Shandong,Longkou
496,Shandong,Penglai
497,Shandong,Pingdu
498,Shandong,Qingdao
499,Shandong,Qingzhou
500,Shandong,Qixia
501,Shandong,Qufu
502,Shandong,Rizhao
503,Shandong,Rongcheng
504,Shandong,Rushan
505,Shandong,Shouguang
506,Shandong,Tai'an
507,Shandong,Tengzhou
508,Shandong,Weifang
509,Shandong,Weihai
510,Shandong,Xintai
511,Shandong,Yantai
512,Shandong,Yucheng
513,Shandong,Zaozhuang
514,Shandong,Zhangqiu
515,Shandong,Zhaoyuan
516,Shandong,Zhucheng
517,Shandong,Zibo
518,Shandong,Zoucheng
519,Shanxi,Changzhi
520,Shanxi,Datong
521,Shanxi,Fenyang
522,Shanxi,Gaoping
523,Shanxi,Gujiao
524,Shanxi,Hejin
525,Shanxi,Houma
526,Shanxi,Huozhou
527,Shanxi,Jiexiu
528,Shanxi,Jincheng
529,Shanxi,Jinzhong
530,Shanxi,Linfen
531,Shanxi,Lucheng
532,Shanxi,Lyuliang
533,Shanxi,Shuozhou
534,Shanxi,Taiyuan
535,Shanxi,Xiaoyi
536,Shanxi,Xinzhou
537,Shanxi,Yangquan
538,Shanxi,Yongji
539,Shanxi,Yuncheng
540,Shanxi,Yuanping
541,Sichuan,Barkam
542,Sichuan,Bazhong
543,Sichuan,Chengdu
544,Sichuan,Chongzhou
545,Sichuan,Dazhou
546,Sichuan,Deyang
547,Sichuan,Dujiangyan
548,Sichuan,Emeishan
549,Sichuan,Guang'an
550,Sichuan,Guanghan
551,Sichuan,Guangyuan
552,Sichuan,Huaying
553,Sichuan,Jiangyou
554,Sichuan,Jianyang
555,Sichuan,Kangding
556,Sichuan,Langzhong
557,Sichuan,Leshan
558,Sichuan,Luzhou
559,Sichuan,Mianzhu
560,Sichuan,Meishan
561,Sichuan,Mianyang
562,Sichuan,Nanchong
563,Sichuan,Neijiang
564,Sichuan,Panzhihua
565,Sichuan,Pengzhou
566,Sichuan,Qionglai
567,Sichuan,Shifang
568,Sichuan,Suining
569,Sichuan,Wanyuan
570,Sichuan,Xichang
571,Sichuan,Ya'an
572,Sichuan,Yibin
573,Sichuan,Zigong
574,Sichuan,Ziyang
575,Tibet,Chamdo
576,Tibet,Lhasa
577,Tibet,Nyingchi
578,Tibet,Shannan
579,Tibet,Shigatse
580,Xinjiang,Aksu
581,Xinjiang,Alashankou
582,Xinjiang,Altay
583,Xinjiang,Aral
584,Xinjiang,Artux
585,Xinjiang,Beitun
586,Xinjiang,Bole
587,Xinjiang,Changji
588,Xinjiang,Fukang
589,Xinjiang,Hami
590,Xinjiang,Hotan
591,Xinjiang,Karamay
592,Xinjiang,Kashgar
593,Xinjiang,Khorgas
594,Xinjiang,Kokdala
595,Xinjiang,Korla
596,Xinjiang,Kuytun
597,Xinjiang,Kunyu
598,Xinjiang,Shihezi
599,Xinjiang,Shuanghe
600,Xinjiang,Tacheng
601,Xinjiang,Tiemenguan
602,Xinjiang,Tumxuk
603,Xinjiang,Turpan
604,Xinjiang,Urumqi
605,Xinjiang,Wujiaqu
606,Xinjiang,Wusu
607,Xinjiang,Yining
608,Yunnan,Anning
609,Yunnan,Baoshan
610,Yunnan,Chuxiong
611,Yunnan,Dali
612,Yunnan,Gejiu
613,Yunnan,Jinghong
614,Yunnan,Kaiyuan
615,Yunnan,Kunming
616,Yunnan,Lincang
617,Yunnan,Lijiang
618,Yunnan,Mang
619,Yunnan,Mengzi
620,Yunnan,Mile
621,Yunnan,Pu'er
622,Yunnan,Qujing
623,Yunnan,Ruili
624,Yunnan,Shangri-La
625,Yunnan,Tengchong
626,Yunnan,Xuanwei
627,Yunnan,Yuxi
628,Yunnan,Zhaotong
629,Zhejiang,Cixi
630,Zhejiang,Dongyang
631,Zhejiang,Fenghua
632,Zhejiang,Haining
633,Zhejiang,Hangzhou
634,Zhejiang,Huzhou
635,Zhejiang,Jiande
636,Zhejiang,Jiangshan
637,Zhejiang,Jiaxing
638,Zhejiang,Jinhua
639,Zhejiang,Lanxi
640,Zhejiang,Lin'an
641,Zhejiang,Linhai
642,Zhejiang,Lishui
643,Zhejiang,Longquan
644,Zhejiang,Ningbo
645,Zhejiang,Pinghu
646,Zhejiang,Quzhou
647,Zhejiang,Ruian
648,Zhejiang,Shaoxing
649,Zhejiang,Shengzhou
650,Zhejiang,Taizhou
651,Zhejiang,Tongxiang
652,Zhejiang,Wenling
653,Zhejiang,Wenzhou
654,Zhejiang,Yiwu
655,Zhejiang,Yongkang
656,Zhejiang,Yueqing
657,Zhejiang,Yuyao
658,Zhejiang,Zhoushan
659,Zhejiang,Zhuji
660,Xinjiang,Uyghur
661,Anhui,Luan
662,Fujian,Fuan
663,Fujian,Jianou
664,Fujian,Nanan
665,Hebei,Qianan
666,Hebei,Wuan
667,Heilongjiang,Beian
668,Heilongjiang,Ningan
669,Jiangsu,Huaian
670,Jiangxi,Gaoan
671,Jiangxi,Jian
672,Jilin,Daan
673,Jilin,Jian
674,Shaanxi,Xian
675,Shaanxi,Yanan
676,Shandong,Taian
677,Sichuan,Guangan
678,Sichuan,Yaan
679,Yunnan,Puer
680,Yunnan,Shangrila
681,Zhejiang,Linan
682,Sichuan,Ngaba
683,Sichuan,Ngawa
684,Guangdong,Zengcheng
685,Zhejiang,Yuhang
686,Chongqing,Yongchuan
687,Shandong,Yanzhou
688,Guangdong,Xinhui
689,Guizhou,Xifeng
690,Zhejiang,Xiaoshan
691,jiangsu,Wujin
692,Jiangsu,Wujiang
693,Shandong,Wendeng
694,Jiangsu,Tongzhou
695,Guangdong,Shude
696,Heilongjiang,Shuangcheng
697,Shaanxi,Shangzhou
698,Zhejiang,Shangyu
699,Guangdong,Sanshui
700,Hainan,Qiongshan
701,Liaoning,Pulandian
702,Jiangxi,Nankang
703,Guangdong,Nanhai
704,Chongqing,Nanchuan
705,Xinjiang,Miquan
706,Hebei,Luquan
707,Shanxi,Lishi
708,innermongolia,Linhe
709,Jilin,Jiutai
710,innermongolia,Jining
711,Jiangsu,Jintan
712,Shandong,Jiaonan
713,Fujian,Jianyang
714,Jiangsu,Jiangyan
715,Chongqing,Jiangjin
716,Jiangsu,Jiangdu
717,Guangdong,Huiyang
718,Chongqing,Hechuan
719,innermongolia,Hailar
720,Guangdong,Gaoyao
721,Guangdong,Gaoming
722,Hebei,Gaocheng
723,Zhejiang,Fuyang
724,Hebei,Fengnan
725,innermongolia,Dongsheng
726,Hunan,Dongjiang
727,Jiangsu,Dafeng
728,Guangzhou,Conghua
729,Guangdong,Chenghai
730,Guangdong,Chaoyang
731,Heilongjiang,Acheng
732,Gansu,Gannan
733,Guizhou,Qiannan
734,Guizhou,Qiandongnan
735,Guizhou,Qianxinan
736,Hunan,Xiangxi
737,innermongolia,Hinggan
738,innermongolia,Xilingol
739,Jilin,Yanbian
740,Qinghai,Haixi
741,Shanxi,L_liang
742,Sichuan,Garz
743,Sichuan,Liangshan
744,Xinjiang,Bortala
745,Xinjiang,Kizilsu
746,Xinjiang,Ili
747,Xinjiang,Bayingolin
748,Yunnan,Honghe
749,Yunnan,Xishuangbanna
750,Yunnan,Dehong
751,Yunnan,Dqn
752,innermongolia,Inner Mongolia
